,audit_observation,recommendations,status_of_implementation,reasons_for_partial_or_non_implementation,management_action,references
72,,"4. receivables totalling p577,426,807.92 were not ascertained as to their validity and accuracy due to the absence of subsidiary records and other deficiencies noted thereon. we recommended that the municipal accountant maintain subsidiary records of the account receivables account to ensure the reliability of the account balances and to have ready reference in determining the balance of every debtor as basis in enforcing collection. in addition, previous journal entries made in recording the rpt/set receivables and the due from other funds with due to other funds should be reviewed and analyzed to trace the difference between the reciprocal accounts to have basis in the preparation of journal entry voucher which would correct or adjust the discrepancies noted.",,unimplemented.,"requested the staff of the municipal administrator who is in-charge of the loan to submit to our office the list of debtor, but until now not yet submitted to this office.",aar 2012
74,,"6. fund transfer to non- governmental organization totalling p47-million pesos were not supported by documents as required under coa circular no. 2007-001 dated october 25, 2007. we recommended that management require the kmfi to submit the documents as mentioned in the foregoing paragraph to serve as their liquidation of the fund transfer.",,partially implemented,submitted some of the documents needed.,aar 2012
75,,7. payment of infrastructure projects,,partially,according to bac,aar
76,,"totalling p27,879,640.77 were not supported with complete and proper documentation which were not in conformity with the provisions of section 4 (6) of presidential decree no. 1445 and with certain provision of ra 9184. we recommended that the bac members should affix their signatures on the abstract of bids and on the bac resolution only when properly accomplished. likewise, the municipal accountant should not process any payments to contractor when their claims were not supported by complete documentation. we also recommended that the bidding documents of the losing bidders and the warranty securities for projects shall be submitted to the office of the audit team leader to avoid suspension or disallowance in audit.",,implemented,chairman they already complied and submitted such documents.,2012
78,,9. the gender and development plan and accomplishment report were not submitted to the philippine commission on women (pcw) for review and endorsement to the department of budget and management (dbm) which is not in conformity with pcw-neda-dbm joint circular no. 2012-01. we recommended that management require the submission of the gad plan and budget and accomplishment report to philippine commission on women (pcw) for review and endorsement to dbm in consonance with the provision of section 8.2 of pcw-neda-dbm joint circular 2012-01.,,unimplemented.,not yet submitted for review.,aar 2012
79,,"10. non-collection of loan receivables amounting to p4,815,050.00 had deprived the other constituents from availing of the intended benefit for which the fund was created. we recommended that management send demand letters and take appropriate legal action in the collection of overdue receivables to generate funds for other constituents who wish to avail of the livelihood program.",,partially implemented. no appropriate legal action was initiated.,already sent demand letters.,aar 2012
483,,"i. ii. 1. audit suspensions and disallowances amounting to p2,310,672.80 and p1,324,273.65 respectively, remained unsettled as of december 31, 2012 in violation of coa circular no. 2009-006 dated september 15, 2009. we recommend that the requirements of the transactions suspended in audit must be complied within the ninety-day period to avoid maturity of disallowance. settlement of audit disallowances that become final and executory should be strictly enforced by withholding the salaries or other compensation due the persons liable who are still employed with the government. management should employ all possible means provided by law for the settlement of disallowances to those who are already separated from government service, otherwise those other persons determined to be liable shall settle the same.",,"partially implemented the management settled their notice of suspension eighty percent (80%) however, settlement on the notice of disallowance is still on process.",the accounting office submitted the required supporting documents to settle their notices of suspension,2012 aar p. 14-15
486,,"4. the reliability and accuracy of the cash in bank – lcca balance totaling to p31,588,327.20 could not be ascertained as of year-end because bank reconciliation statement was not prepared and submitted in violation of paragraph 4 of coa accounting circular no. 2006-002, dated december 19, 2006. we recommend that management should prepare monthly bank reconciliation statements as required by coa circular no. 96-011 dated october 2, 1996 to ensure the accuracy of the cash in bank accounts in the financial statements.",,not implemented the acting accountant failed to prepare the bank reconciliation statement due to heavy load and lack of manpower in her office,,2012 aar p. 18-19
534,,"1. the validity and existence of property, plant &equipment(ppe) worth p48,057,824.26 & other assets account of p428,600.00 could not be ascertained due to the failure of the mun. govt. to conduct a complete inventory of agency assets in violation of sections 119 &124 of ngas, thus casting doubt on the reliability of account balance. we recommendedto management to conduct annual physical inventory of all ppe and other assets of the agency to verify existence their status & existence.likewise, the acting mun. accountant should prepare and maintain property ledger cards. the gso or supply officer should prepare and maintain stock cards for inventory & property cards for ppe to be reconciled to the ledger cards maintained in the accounting office.",,"implemented. the report on the physical count of ppe as of december 31, 2013 was already submitted to the auditor’s office.",management already conducted physical inventory of the lgu’s ppe. reconciliation between accounting and property records is on-going with minimal unreconciled balances.,aar cy 2012 page 12
535,,"2.failure to submit copies of the contracts together with the supporting documents within five days upon approval of the perfected contract and pos as required under coa circular no. 2009-001 resulted to our inability to perform timely review and evaluation of the transactions. we recommended that management require the officials concerned to submit the contracts/purchase orders and their supporting documents to coa within the prescribed period pursuant to coa circular no. 2009-001 dated february 12, 2009.",,not implemented. the head of the bac secretariat failed to submit copies of the bid documents/contracts and the supply officer for purchase orders. this was reiterated in part ii.,no action.,aar cy 2012 page 13
