,audit_observation,recommendations,status_of_implementation,reasons_for_partial_or_non_implementation,management_action,references,source
69,,"1. collections were not deposited intact with the authorized government depository bank at the end of each business day or on the next day as required under section 32 of the manual on the new government accounting system (mngas). likewise, the accumulated undeposited collections totaling p4,437,478.39 as appeared in the general ledger did not reconcile with the balance per cashbook, hence, validity and accuracy of the account balances were doubtful. we reiterated our recommendation as contained in our previous audit observation memorandum (aom) and audit reports that the municipal treasurer deposit intact her collection in the depository bank within the timeframe as prescribed by section 32 of the mngas to avoid misapplication or misuse of the funds. likewise, the municipal treasurer and municipal accountant reconcile their records every end of each month, so that any error committed in recording could be adjusted or corrected immediately. in addition, the municipal treasurer must record her collections and indicate the balances at end of each day in her cashbook as a guide in the determination of her accountability.",n/a n/a,"partially implemented. balances however as of december 31, 2013 were not yet reconciled. ","reconciliation between records of the accounting office and municipal treasurer’s office were prepared, however, collections remained not deposited intact with the authorized depository bank within the timeframe. ",aar 2012 ,01-sual2013_audit_report.pdf
70,,"2. adjusting or correcting entries to take up various reconciling items as reflected in the bank reconciliation statements were not made which overstated the cash in bank account by p2,954,174.82 affecting the fair presentation of said account in the financial statements. we reiterated our previous year’s recommendation that the municipal treasurer submit to the accounting office all the disbursement vouchers to have basis in recording in the books for fair presentation of the account in the financial statements. we also recommended that the municipal accountant prepare the necessary journal entries to: (1)correct the entries made in recording various check disbursement; (2) take up the unrecorded deposits; (3) record as receivables the bank charges incurred from the daif checks issued by the borrowers of the lending program of the municipality; and (4) correct the entry made for the deposits which appeared as deposit in transit inspite of the fact that these had been long outstanding in the bank reconciliation statements. we further recommended that the municipal treasurer exert effort in tracing or locating the depository bank of the cash in bank account balance of p252,898.30 under trust fund by sending confirmation letters to all depository banks of the municipality.",n/a n/a,partially implemented. ,"recorded as receivables the bank charges incurred from the checks issued by the borrowers of the lending program of the municipality. follow up the treasury office for the submission of vouchers for the recording and adjusting the entries, however, other reconciling items as appeared in the bank reconciliation statements remained unadjusted in the book. ",aar 2012 ,01-sual2013_audit_report.pdf
71,,"3. cash advances totalling p3,494,355.52 were not yet liquidated at year-end. likewise, additional cash advance were granted to some officials who still have previous outstanding cash advances. moreover, consultants and other officials and employees who are not bonded were granted cash advance which were not in conformity with the provisions of coa circular no. 97-002 and section 101 of presidential decree (pd) 1445. we reiterated our previous year’s recommendation that management observe the provisions of coa circular no. 97-002 and section 101 of pd 1445 in granting cash advance. no additional cash advance shall be granted to an official or employee unless his/her previous cash advances was liquidated. cash advances for operating expenses, other than travel, shall not be granted to elected officials, consultants and other officials and employees who were not bonded. moreover, the municipal accountant must issue demand letters to the officials and employees concerned for the immediate liquidation of their cash advances to avoid sanction as provided by coa circular 2012- 004 dated november 28, 2012.",n/a n/a,partially implemented. the non-granting of cash advances to employees with existing cash advances is not absolute. some were still granted cash advances. ,no additional cash advances were granted to officials/employee with existing cash advances. ,aar 2012 ,01-sual2013_audit_report.pdf
72,,"4. receivables totalling p577,426,807.92 were not ascertained as to their validity and accuracy due to the absence of subsidiary records and other deficiencies noted thereon. we recommended that the municipal accountant maintain subsidiary records of the account receivables account to ensure the reliability of the account balances and to have ready reference in determining the balance of every debtor as basis in enforcing collection. in addition, previous journal entries made in recording the rpt/set receivables and the due from other funds with due to other funds should be reviewed and analyzed to trace the difference between the reciprocal accounts to have basis in the preparation of journal entry voucher which would correct or adjust the discrepancies noted.",,unimplemented.,"requested the staff of the municipal administrator who is in-charge of the loan to submit to our office the list of debtor, but until now not yet submitted to this office.",aar 2012,01-sual2013_audit_report.pdf
73,,"5. property, plant and equipment account balance of p307,678,508.16 were not covered by subsidiary records or by property ledger cards. likewise deficiencies were noted in the custodianship and utilization of agency’s assets which leaves doubt to the validity and accuracy of reported account balance. we recommended that the accounting department maintain subsidiary records or equipment ledger card for all properties in order to have a ready reference in determining the book value of a particular property at a given date. likewise, it is recommended that the gso maintain property card for each category of property and he should require the officials and employees who have the custody of the ppe to sign on the are and par for proper accountability. in addition, it is recommended that management create a committee to conduct physical inventory of properties. those found unserviceable shall be disposed either thru sale, transfer to other agency or thru destruction.",n/a n/a,unimplemented. ,accounting office maintain ppe ledger card for each category of asset. no physical inventory was made. ,aar 2012 ,01-sual2013_audit_report.pdf
74,,"6. fund transfer to non- governmental organization totalling p47-million pesos were not supported by documents as required under coa circular no. 2007-001 dated october 25, 2007. we recommended that management require the kmfi to submit the documents as mentioned in the foregoing paragraph to serve as their liquidation of the fund transfer.",,partially implemented,submitted some of the documents needed.,aar 2012,01-sual2013_audit_report.pdf
75,,7. payment of infrastructure projects,,partially,according to bac,aar,01-sual2013_audit_report.pdf
76,,"totalling p27,879,640.77 were not supported with complete and proper documentation which were not in conformity with the provisions of section 4 (6) of presidential decree no. 1445 and with certain provision of ra 9184. we recommended that the bac members should affix their signatures on the abstract of bids and on the bac resolution only when properly accomplished. likewise, the municipal accountant should not process any payments to contractor when their claims were not supported by complete documentation. we also recommended that the bidding documents of the losing bidders and the warranty securities for projects shall be submitted to the office of the audit team leader to avoid suspension or disallowance in audit.",,implemented,chairman they already complied and submitted such documents.,2012,01-sual2013_audit_report.pdf
77,,"8. salaries and wages of twenty four casuals/job order detailed in the offices under the executive branch were charged against the appropriation of the sangguniang bayan, hence, area of responsibility in the utilization of fund were not properly presented in the statement of appropriation and obligation. we recommended that the appropriation for salaries and wages and other benefits of casuals whose functions and duties are within the executive branch be included in the executive branch to provide more accurate information in the utilization of budget.",n/a n/a,unimplemented. ,the municipal mayor already discussed the matter with the municipal vice- mayor but no comment was given by municipal vice- mayor. ,aar 2012 ,01-sual2013_audit_report.pdf
78,,9. the gender and development plan and accomplishment report were not submitted to the philippine commission on women (pcw) for review and endorsement to the department of budget and management (dbm) which is not in conformity with pcw-neda-dbm joint circular no. 2012-01. we recommended that management require the submission of the gad plan and budget and accomplishment report to philippine commission on women (pcw) for review and endorsement to dbm in consonance with the provision of section 8.2 of pcw-neda-dbm joint circular 2012-01.,,unimplemented.,not yet submitted for review.,aar 2012,01-sual2013_audit_report.pdf
