,audit_observation,status_of_implementation,reasons_for_partial_or_non_implementation,management_action,references,source
527,"this finding is reiterated in part ii of this report. this finding is reiterated in part ii of this report. 1. prior years’ reconciling items in the bank reconciliation statements for the general fund and trust fund totaling p207,709.38 and (p37,797.18), respectively, have remained unadjusted due to the failure of the agency to identify the source and nature of these items, thus rendering the accuracy and reliability of the cash account balances of the two funds doubtful. we recommended that the accountant exert efforts to gather documents pertinent to the so-called reconciling figures to determine their nature and make the necessary adjustment. if no documents are found, adopt the bank balance as the correct balance if it is more than the book balance otherwise, the persons in-charge of preparing the bank reconciliation statements and recording cash transactions in the general ledger at the time the undetected reconciling items occurred will be held liable therefor. 2. the consolidated reports of accountability for accountable forms (craaf) were not supported with the individual raafs and were also not submitted monthly to the auditor during the year, contrary to section 51 of volume ii, coa circular no. 2002-003 dated june 20, 2002, preventing the auditor from easy monitoring and verification of the movement of accountable forms for a specific period. ",,,not implemented partially implemented,cy 2012 aar cy 2012 aar,11-moncada2013_part3-status_of_py's_recommendations.pdf
650,"1. various reconciling items in the bank reconciliation statements were not taken up in the books thereby, misstating the affected accounts and consequently, the fair presentation of the financial statements. we recommended that management instruct the accounting office to record in the books of accounts the brs reconciling items and to request, in writing, copies of the unrecorded debit and credit memos for the determination of the nature of the said transactions and for the proper recording of the same in the accounting books of the municipality.   ",,,partially implemented partially implemented ,2012 aar 2012 aar ,11-mayantoc2013_part3-status_of_py's_recommendations.pdf
651,"3. recorded receivables amounting to p49,404.08 represent payments, made by the municipality, of personal loans of its employees which they obtained from various financing institutions, in violation of sections 2, 4(1) and (2) of p.d. no.1445 thereby, rendering the transaction illegal. we reiterated the previous recommendation that management demand the immediate payment of the receivables and institute appropriate charges against municipal officials who are responsible for the payment of employees’ personal loans out of the funds of the municipality.   ",,,partially implemented not implemented ,2012 aar 2012 aar ,11-mayantoc2013_part3-status_of_py's_recommendations.pdf
652,"5. the reported property, plant and equipment account balance of p82,058,948.17, representing 80.5 percent of the total assets of the municipality as of december 31, 2012, is misstated due to: (a) non- conduct of physical count of properties; (b) unrecorded donated assets; (c) unlocated property; and (d) inclusion of unserviceable properties not yet disposed nor reclassified to other assets account amounting to p256,950.00, in violation of the related provisions of the government accounting and auditing manual and p.d. no. 1445. we recommended that the municipality (a) conduct physical inventory taking to validate the existence and determine the condition of the ppes; (b) exert effort in obtaining necessary documents for the donated assets to serve as bases in the recording thereof; (c) hold accountable officers liable for the missing vehicles and institute appropriate actions, if warranted; and (d) instruct the accounting office to reclassify the unserviceable properties from ppe to other assets account pursuant to sec.04.p of the new government accounting system for lgus. ",,,partially implemented,2012 aar,11-mayantoc2013_part3-status_of_py's_recommendations.pdf
653,"6. due to inadequate planning, development funds amounting to p2,477,220.26, or 16.54 percent of the total development fund remained unutilized as of year-end, contrary to the mandate of an effective and efficient delivery of services and facilities to the constituents, amounting to a denial of improved health, social, economic and infrastructure services to the constituents. we recommended that management direct the concerned offices to properly prepare the development plan of the municipality which would include beneficial projects for its constituents. the planned projects should be supported with a detailed program of work. ",,,partially implemented,2012 aar,11-mayantoc2013_part3-status_of_py's_recommendations.pdf
654,"7. the municipality failed to prepare monthly report on the sources and utilization of the local disaster risk reduction and management fund, in violation of section 5.1.5 of coa circular no. 2012-002, thus delaying review and evaluation of the use of the said fund. we recommended that management instruct the concerned personnel to prepare, certify and submit the required report to coa as per coa circular 2012-002 for timely evaluation of the drrmf.   ",,,partially implemented not implemented ,2012 aar 2012 aar ,11-mayantoc2013_part3-status_of_py's_recommendations.pdf
655,"9. the fund for the implementation of the gender and development plan of the municipality was not maximized in achieving the goal of addressing gender issues and concerns for out of the p3,703,773.60 appropriation, 7.7 percent or p286,000.00 thereof was budgeted for activities concerning senior citizens and the differently-abled persons. we recommended that the municipality utilize the budget for the gad plan solely for addressing gender issues and concerns.   ",,,partially implemented partially implemented ,2012 aar 2012 aar ,11-mayantoc2013_part3-status_of_py's_recommendations.pdf
1074,"4. loans payable balances did not reconcile with the balance per bank by p229,763.76, thereby affecting its reliability in the financial statements. we have recommended that the municipal accountant make a thorough verification of his records and coordinate with the bank before making necessary adjustments to make balances of both records reconcile. ",,,fully implemented,aar cy 2012,01-lingayen2013_audit_report.pdf
1532,"8. hired personnel under the “job order” contract of employment were charged to specific programs, project and activities of the lgu. farther review revealed that accomplishment reports of the various personnel under job order contract were not submitted or attached as supporting document to the disbursements for their wages as required under item 1.2.1 of coa circular no. 2012-001 dated june 14, 2012 and section 4(6) of pd 1445. we recommend that accomplishment report should be submitted/attached as supporting document to the payment of wages paid to contractual employees as required under coa circular no. 2012-001 dated june 14, 2012 and section 4(6) of pd 1445. ",,,the management required the submission of the accomplishment report to be attachéd in disbursement vouchers.,aar 2012 p.23,05-ivana2013_part3-status_of_py's_recommendations.pdf
1802,"14. the implementation of the gender and development plan of the municipality did not fully achieve the goal of addressing gender issues and concerns for the following reasons: a. the general plan was not supported with detailed program for each of the activities such that some activities were not implemented while the others were only partially implemented, resulting in an unexpended balance of p1,479,381.29; and b. out of the p4,619,100.15 appropriation, eight percent or p360,000.00 thereof was budgeted for activities concerning senior citizens and the differently- abled persons. we recommended that the municipality utilize the budget for the gad plan solely for addressing gender issues and concerns. ",,,not implemented,2012 aar,11-santaignacia2013_part3-status_of_py's_recommendations.pdf
1803,"1. due to various lapses in the collection procedures prescribed by the new government accounting system manual for local government units, initial cash examination on the cash and accounts of accountable officers concerned disclosed unremitted collections of p708,819.74 as of december 31, 2012, resulting in the understatement of the cash on hand and income accounts. we recommended that management instruct the accounting office to disclose, in the financial statements, the above result of partial analysis of the cash accountabilities of the aos. the accuracy of the cash accounts.   ",,,implemented implemented ,2012 aar 2012 aar ,11-santaignacia2013_part3-status_of_py's_recommendations.pdf
