,audit_observation,status_of_implementation,reasons_for_partial_or_non_implementation,management_action,references,source
17,"7. long overdue uncollected receivables from recipients of kilusang kabuhayan at kaunlaran (kkk) livelihood loan program totaling to p77,750.00 remained outstanding. ",,"recommendation was not implemented. records and memorandum of agreement regarding the program can no longer be found. this is reiterated in no. 7, aar cy 2012.",the account remained dormant during the past 29 years already. no action.,aar cy 2011,05-solana2013_part3-status_of_implementations_of_pys_recommendations.pdf
18,"8. collection from various accounts in the amount of p86,557.24 remained undeposited as of december 31, 2012//. ",,recommendation was implemented early jan. 2013.,year-end collections were not deposited before the last banking day of the year.the undeposited collections were deposited in the ensuing month.,aar cy 2012,05-solana2013_part3-status_of_implementations_of_pys_recommendations.pdf
20,"10. disallowances amounting to p560,348.36 remained unsettled as of december 31, 2012 in violation 0f section 9.1 of coa cir. no. 94-001 dated january 24, 1994. ",,"recommendation was partially implemented. this is reiterated in no. 10, aar cy 2012.","there was a settlement of p73,248.36.",aar cy 2012,05-solana2013_part3-status_of_implementations_of_pys_recommendations.pdf
21,"11. the newly constructed market totaling to p29, 998,144.31, some vehicles and other insurable properties of the municipality were not insured with the general insurance fund and the property replacement fund of the gsis, in violation of coa cir. no. 92-390 dated november 17, 1992, thereby not protected against losses arising from fire and other incidents. ",,"recommendation was partially implemented. this is reiterated in no. 11, aar cy 2012.",not acted upon during the year.,aar cy 2012,05-solana2013_part3-status_of_implementations_of_pys_recommendations.pdf
49,"11. remittance of taxes withheld are sometimes delayed, thus penalties and surcharges may be imposed to the personal account of concerned officials as provided under existing revenue regulation. we have recommended for the accounting and treasury offices to comply with the regulation on remittance of taxes withheld to avoid sanctions, thereof. ",,fully implemented.,management has been vigilant in the remittance of taxes withheld during the year as compared to the previous years.,cy 2012 aar,05-solano2013_part3-status_of_pys_audit_recomm.pdf
50,"1. the cash in vault (code 101) account of the municipality had been understated by p243,965.71 because the negative beginning balances of collections from the special education fund and trust fund were off-set therefrom, thereby affecting the propriety and reliability of the reported amount of p1,145,868.49 as of december 31, 2012. the audit team recommended for the local chief executive to: require the accounting office to reconcile its “subsidiary ledgers” on cash in vault with that of the “reports of collection and deposit and cashbooks” of the treasury office for propriety of the account and to establish whom this over-remittance amounting to p213,766.49 would be accounted for; and if warranted, draw a journal entry voucher reclassifying this amount to the payable account or as prior period adjustment; and involve the revenue clerk iii in the reconciliation of her account totaling to p30,199.22 with the accounting office to ensure its propriety. otherwise, require the accounting office to draw a journal entry voucher reclassifying the over-remittance made by said clerk to the “due to officers and employees” account and for the treasury office to refund the alleged over- remittance made. this way, the understatement of the cash in vault and payable accounts would be adjusted. ",,partially implemented due to lack of records as basis to fully adjust the discrepancy.,the accounting office has initiated to trace the causes of the discrepancies and some adjustments were made to the cash account.,cy 2012 aar,05-solano2013_part3-status_of_pys_audit_recomm.pdf
51,"2. the other receivables account (code 149) amounting to p844,085.91 as reflected on the financial statements has been dormant for more thanten years as of december 31, 2012.some of which have no specific debtors, therefore, collection of the amount involved could not be readily enforced. we have recommended for the accounting office to: establish the identity of the debtors who issued checks with no sufficient funds and the nature of their accounts as bases to enforce collection of the amount of p149,822.25; make representation with the pnb, lbp and dbp as regards the deductions made by these banks from the bank accounts of the municipality amounting to p466,128.66 and reconcile the same to clear discrepancies, if any, and for possible restitution of the cash to the municipal government; establish the nature of the account from febtc for enforcement of collection; trace the debtors and the nature of the amount of p181,720.00 and p24,000.00 to facilitate collection; and inform the municipal treasury office to initiate collection of the amount of p9,055.00 from those identified debtors. (refer to annex c) ",,not implemented due to lack of records as basis to enforce collections.,management found no records,cy 2012 aar,05-solano2013_part3-status_of_pys_audit_recomm.pdf
52,"3. settlement of the receivable- disallowances and charges totallingp1,177,218.85could have been practical had it been enforced within the prescribed period, to the convenience of the leadership. we recommended for the local chief executive to: instruct the special disbursing officer to withhold the corresponding amount of disallowances from the salaries and benefits of liable officials and employees to the amount of p207,505.04 as of december 31, 2012, if such has not already been done; these are long-over due; and require the accounting office to issue demand letters to former officials and employees as well as all persons liable (merchants/suppliers) for the immediate settlement, thereof; and documents pertaining to the disallowances should always be made available to facilitate settlement. ",,partially implemented. some of the persons liable are no longer connected to the lgu for convenience to enforce settlement.,the local chief executive consistently reminds officials and employees to settle their audit disallowances.,cy 2012 aar,05-solano2013_part3-status_of_pys_audit_recomm.pdf
53,"4.the shares of the barangays and province from the collected rpt in the amount of p1,432,190.46 was not remitted within the period prescribed under section 36 of coa circular no. 92-382 dated july 3, 1992, thus depriving these recipient agencies the use, thereof. we have recommended for management to strictly comply with the provision of section 36 of coa circular no. 92-382 as regards the remittance of the shares of the barangays and province from collected real property taxes. likewise, immediate remittance of the amount of p1,432,190.46 is enjoined, had it not been complied with as of now. ",,"partially implemented. as of december 31, 2013, the unreleased amount was p2,488,376.21.",the lgu release the shares of the barangays upon request.,cy 2012 aar,05-solano2013_part3-status_of_pys_audit_recomm.pdf
54,"5. officials and employees with prior year’s “unliquidated cash advances” were granted additional cash advances during the current year contrary to section 4.1.2 of coa circular no. 97-002. this has increased the un-liquidated balance by p593,136.50 on its general fund for the current year. we have recommended for management to stop granting cash advances to its officials and employees with un-liquidated cash advances in compliance to section 4.1.2 of coa circular no. 97-002 that no additional cash advance shall be allowed to any official or employee unless the previous cash advance given to him is first settled. ",,fully implemented.,the mayor has issued memorandum no. 174 lce – s – 2013 stressing that no additional cash advance(s) will be granted to officials and employees who have unliquidated cash advance(s) that was observed during the year 2013.,cy 2012 aar,05-solano2013_part3-status_of_pys_audit_recomm.pdf
