,audit_observation,recommendations,status_of_implementation,reasons_for_partial_or_non_implementation,management_action,references,source
713,,,,,,2012,01-nuevaera2013_audit_report.pdf
723,,,,,,2011,01-nuevaera2013_audit_report.pdf
728,,,,,,2010,01-nuevaera2013_audit_report.pdf
733,,,,,,2009,01-nuevaera2013_audit_report.pdf
736,,,,,,2008,01-nuevaera2013_audit_report.pdf
738,,,,,,2007,01-nuevaera2013_audit_report.pdf
836,,,,,,,01-mangaldanpanga2013_audit_report.pdf
1046,,,,,,2012,01-marcos2013_audit_report.pdf
1052,,,,,,2010,01-marcos2013_audit_report.pdf
1057,,,,,,2008,01-marcos2013_audit_report.pdf
2179,,,,,,2012,01-dingras2013_audit_report.pdf
2187,,,,,,2011,01-dingras2013_audit_report.pdf
2194,,,,,,2010,01-dingras2013_audit_report.pdf
2198,,,,,,2008,01-dingras2013_audit_report.pdf
2200,,,,,,2007,01-dingras2013_audit_report.pdf
2204,,,,,,2006,01-dingras2013_audit_report.pdf
3701,,,,,,2012,01-banna2013_audit_report.pdf
3711,,,,,,2011,01-banna2013_audit_report.pdf
3716,,,,,,2010,01-banna2013_audit_report.pdf
3719,,,,,,2009,01-banna2013_audit_report.pdf
3722,,,,,,2008,01-banna2013_audit_report.pdf
