,audit_observation,status_of_implementation,management_action,references,source,status_score,status
0,"9. payments of honoraria to bids and awards committee and officials of national agencies assigned at the lgu had not been withheld taxes as required by revenue regulations no. 2-98 and no. 10-2008, thereby depriving the national government of income due thereon. we recommended that the municipal accountant properly withhold income taxes from honoraria paid to bac and officials of national agencies assigned in the lgu in compliance with revenue regulation nos. 2- 98 and 10-2008 to help the government accelerate its collection of income.",implemented,all taxes due have been deducted from honoraria given for cy 2013.,nan,09-taysan2013_part3-status_of_py's_recommendations.pdf,1.0,2
1,"1. the cash in bank - local currency, current account as shown in the balance sheet does not accurately reflect the balance as of december 31, 2012 for failure of the accounting unit to promptly prepare journal vouchers to record all valid reconciling items requiring adjustments in the books, contrary to the procedure prescribed under coa circular no. 96-011 dated october 2, 1996. we recommend that management: a. require the accountant or the officer-in-charge, in her absence, to implement the provisions of coa circular no. 96-011 and promptly prepare the journal vouchers to adjust and take up the reconciling items in the books of the lgu in order to accurately reflect the balances in the financial statement. b. direct the accounting unit to validate the auto credit made by the bank in order to establish the details necessary to record the transaction. c. effect adjustment for the stale check by requiring the accountant to prepare journal voucher to reverse the entry made upon the issuance of said check.",implemented,the municipal accountant was already instructed on the matter and journal entry vouchers were already prepared to record the valid reconciling items.,aar 2012,12-valencia2013_status_of_py's_recommendation.pdf,1.0,2
2,"2. collectors failed to remit their collections intact daily to the municipal treasurer for an average period of three (3) to seventy-seven (77) days wherein the amount collected had accumulated to as much as p25,906.00, contrary to the provisions of sections 15 and 29 of the manual on the new government accounting system for lgus, thus exposing government funds to the risk of loss or misappropriation. we recommend that management: a. direct all collectors of the municipality to remit their collections intact daily to the municipal treasurer, pursuant to section 15 of the new government accounting system manual, in order to preclude the accumulation of unremitted collections by the collectors. b. instruct the municipal treasurer to see to it that collectors are not issued additional accountable forms unless the collections pertaining to the accountable forms previously issued to them are remitted intact or an inventory of any accountable form had been diligently made.",partially implemented,a memorandum on the matter was already issued to the office of the municipal treasurer.,aar 2012,12-valencia2013_status_of_py's_recommendation.pdf,0.5,1
3,3. the collections remitted to the municipal treasurer were not deposited intact daily or not later than the next banking day pursuant to section 32 of the new government accounting system for lgus thus exposing government funds to possible misuse or loss. recommendation: we recommend that management immediately call the attention of the municipal treasurer and require her to deposit all the collections intact daily.,partially implemented,a memorandum on the matter was already issued to the municipal treasurer.,aar 2012,12-valencia2013_status_of_py's_recommendation.pdf,0.5,1
4,"4. existence, validity and correctness of the inventories and ppe accounts as of december 31, 2012 amounting to p626,422.73 and p120,374,923.65, respectively, could not be ascertained due to non- submission of the report of the physical count of inventories (rpci) and the report on the physical count of property, plant and equipment (rpcppe), in violation of section 124 of the ngas manual, volume i. it is recommended that - a. the local chief executive should direct the inventory committee to conduct a complete physical count of the inventories and ppe of the lgu. b. the inventory committee should prepare the necessary inventory reports and submit a copy to the auditor in order to verify compliance with section 124 of the ngas manual. c. the municipal accountant should effect adjustments for the discrepancies between the actual and the recorded balances of the affected accounts.",partially implemented,"this office has already constituted an inventory committee for the purpose. the conduct of the physical count of the ppe of the municipality was set to be made after the barangay elections on october 28, 2013.",aar 2012,12-valencia2013_status_of_py's_recommendation.pdf,0.5,1
5,"5. failure to comply with the perpetual inventory method in recording purchase of supplies and materials is contrary to sec. 114 of the ngas for local government units. we recommend that - a. the local chief executive should direct the municipal accountant to follow the perpetual inventory method and record thru the inventory account the regular purchases of the lgu, except those purchased out of the petty cash fund which shall be for immediate use and for stock in which case shall be charged immediately to the appropriate expense accounts. the issuance of inventory items shall also be recorded in the inventory account as they take place. moving average method should be used in the costing of inventories. b. the general services officer or the municipal treasurer, as the case maybe shall maintain stock cards and property cards for supplies; property, plant and equipment; and work animals in their custody to account for the receipt and disposition of the same. the balance per stock card/property cards should always reconcile with the ledger cards of the accounting unit.",partially implemented,the municipal accountant and the hrmo who is the officer in- charge in the purchase and issuance of office and other expendable supplies are already instructed to coordinate among themselves to comply with the perpetual inventory method. .,aar 2012,12-valencia2013_status_of_py's_recommendation.pdf,0.5,1
6,"6. no provision for depreciation was recorded for properties acquired prior to year 2002 and for the current year's addition to property, plant and equipment, contrary to section 04(o) of the ngas manual. it is recommended that - a. the local chief executive require the municipal accountant to adhere to the requirement on providing depreciation for all property, plant and equipment accounts, other than land and public infrastructures. b. the municipal accountant should provide depreciation for the cy 2012 purchases by adjusting the accumulated depreciation for each property account in the subsequent year. c. the municipal accountant should retrieve the necessary data in order to establish depreciation for the properties acquired prior to year 2002.",not implemented,nan,aar 2012,12-valencia2013_status_of_py's_recommendation.pdf,0.0,0
7,"7. tangible items amounting to p676,669.24 with serviceable life of more than one year but small enough to be considered as property, plant and equipment were included in the schedule of ppe, contrary to the policies provided in coa circular no. 2005-002 dated april 14, 2005. we recommend that - a. the local chief executive must direct the municipal accountant to comply with the policies and guidelines of coa circular no. 2005-002 in classifying items or properties acquired by the lgu. b. the municipal accountant should drop the items from the list of property, plant and equipment, and reclassify them as inventories. for monitoring, control and accountability of these items, an inventory custodian slip should be prepared upon issuance of these small tangible items.",not implemented,,aar 2012,12-valencia2013_status_of_py's_recommendation.pdf,0.0,0
8,"8. elective officials were not required to go on vacation leave whether continuous or intermittent for a minimum of 5 working days annually and no forfeiture was recorded on the ledger for the annual five-day vacation leave not taken despite the non- submission of the required written manifestation to the hrmo, contrary to the provisions on the omnibus rules on leave issued by the civil service commission. recommendation: we recommend that the local chief executive should direct the human resource management officer to adhere to the provisions on the omnibus rules on leave and csc memorandum; and ensure that a written manifestation was filed by the elective officials should they wish not to avail of the said privilege.",implemented,the hrmo was already informed on the matter and thus was implemented fully in consonance with the csc omnibus rules on leave.,aar 2012,12-valencia2013_status_of_py's_recommendation.pdf,1.0,2
9,"9. several monetizations of sick leave credits were allowed regardless of the employees' available vacation leave credits, contrary to section 22 of the omnibus rule on leave. it is recommended that - a. the local chief executive should direct the human resource management officer to adhere to the provisions of the omnibus rules on leave and ensure that the minimum days and prescribed limitations provided therein are strictly followed. b. the human resource management officer should ensure that monetization of sick leave credits as requested by an employee under sec. 23 of the omnibus rules on leave is in compliance with the csc resolution which provides that vacation leave credits must be exhausted first before sick leave credits maybe used. c. the human resource management officer should update the ledger on leave credits by recording the forfeiture of mandatory leave not taken by the officials and employees of the lgu, emphasizing that tardiness and undertime should not be considered in computing the mandatory annual leave.",implemented,the hrmo with the directive of the local chief executive has already implemented this matter.,aar 2012,12-valencia2013_status_of_py's_recommendation.pdf,1.0,2
10,"10. expenditures not related to the intended purpose of the special education fund in the amount of p198,000.00 were incurred in violation of section 272 of ra 7160 and the rules and regulations issued under decs, dbm and dilg joint circular nos. 01, 01-a and 01-b, series 1998, 2000 and 2001, respectively, resulting to the improper utilization of the fund. recommendation: we recommend that the local school board should ensure that funds allocated for special education fund will be budgeted and utilized strictly in accordance with section 272 of ra 7160 and the rules and regulations issued under the decs (now department of education), dbm and dilg joint circular nos. 01, 01-a and 01-b to effectively attain the purpose for which the fund was created.",implemented,the local school board was already informed on the matter and the specified circular has been adhered to.,aar 2012,12-valencia2013_status_of_py's_recommendation.pdf,1.0,2
